Senior Full-Stack Python Developer,Киев,"We are looking for a Senior Full-Stack Python Developer Required skills: 8+ years of demonstrated experience building, testing and shipping commercially available software products at a successful company..."
Full Stack Developer,Киев,Full Stack Developer We're looking for a Full Stack developer who will take a key role on our team. Our Full Stack developer must have knowledge in all stages of software development. Requirements : SKILLS:...
Data scientist,"Киев
Профиль компании","Rabota.ua team is seeking a smart, passionate, autonomous, and experienced Data Scientist. This role is based in Ukraine, Kiev. If you have a deep understanding of machine learning and statistical models,..."
Data scientist (Machine Learning),Киев,"Jooble - поисковик вакансий в Интернете. Мы верим, что для каждого человека в мире есть идеальная для него работа, и наша цель - помочь ему ее найти. Мы работаем в 66 странах и каждый день нашим сервисом..."
Продуктовый аналитик,Киев,"Jooble (https://jooble.org) - поисковик вакансий в Интернете. Мы верим, что для каждого человека в мире есть идеальная для него работа, и наша цель - помочь ему ее найти. Мы работаем в 66 странах и каждый..."
Computer Vision and Machine Learning Interns,Киев,"Digamma.ai is hiring Computer Vision and Machine Learning Interns to join our team. Get practical, real-life experience working on machine learning and computer vision projects with an established U.S...."
Senior Backend ( Python) Engineer,Киев,"We are looking for a Senior Backend ( Python) Engineer Competency in core computer science data structures and algorithms 4+ years of demonstrated experience building, testing and shipping commercially..."
Middle Python Software Engineer,Киев,"We are looking for a Software Engineer to join our ever growing Engineering team! Position: As a Software Engineer, you will have a diverse working day, participating in all stages of the development lifecycle...."
Senior Python/C++ Developer (World of Tanks Kyiv),"Киев
Профиль компании",World of Tanks Kyiv is looking for a Senior Python / C++ Engineer to join the Team on a full-time basis. As an Engineer you will be focusing on development of new features and modes for World of Tanks...
Middle DevOps Engineer for Digital Consumer Engagement Infrastructure,Киев,Project Overview: Our customer is a multinational corporation with more than a century of history and offices in over 180 countries. Their most ambitious goal at the time is to introduce a range of Reduced-Risk...
Senior 3D Plugin Developer (C++/Python),Киев,"Project Description: Are you looking for the opportunity to make a direct impact on next generation products with an major industry player? Do you have experience leading the design, development and enhancement..."
Data Science Engineer,Киев,"Main Requirements A strong computer science background (Bachelor's or Master's Degree in Computer Science/Engineering or equivalent experience) 1-3 years of professional experience programming in Python,..."
DevOps Engineer,Киев,"Job Description Configuration and support of version control systems, continuous integration systems, defect tracking systems Software development projects infrastructure support Creation of trainings..."
Senior DevOps Engineer (Kubernetes) for Digital Consumer Engagement Infrast...,Киев,Project Overview: Our customer is a multinational corporation with more than a century of history and offices in over 180 countries. Their most ambitious goal at the time is to introduce a range of Reduced-Risk...
Intermediate Strong Python Software Engineer,"Киев
Профиль компании",Job Intro: Are you excited about learning new technologies? Are you passionate about advanced engineering practices and beautiful design? Are you ready to help people save money? Are you excited about...
Data Scientist,Киев,"EOS is looking for an experienced Data Science Engineer who will be involved into project, related to Geospatial data analysis. EOS Data Analytics company is developing cloud-based GIS analysis service...."
Quantitative .NET/R developer,Киев,"Project Description: Luxoft are working with a world leading company on energy utilities market, based in Baden, Switzerland which is active in producing, trading and selling energy in more than 30 European..."
Senior JavaScript Software Engineer,"Киев
Профиль компании",The Senior Software Developer will be part of an engineering team that will be responsible for all of the development and implementation of clients manufacturing and production control systems. This position...
ML/AI Engineer,Киев,Job Description apply machine learning and artificial intelligence techniques to create cyber-security solutions perform hands-on data analysis and modeling with big data sets perform behavioral modeling...
"Lead Python Engineer, UM",Киев,Project Overview: The public transportation team focuses on providing the best experience of using public transport to navigate around and across cities. This is achieved by collecting timetables and real-time...
Report Developer (IRC59527),"Киев
Профиль компании",GlobalLogic Ukraine is inviting a Report Developer to join its Kyiv office. Our client is a 700-employee big data integration software company with deep open source roots that recently entered the NASDAQ...
DevOps QA Engineer for CloudSimple,"Киев
Профиль компании","On behalf of CloudSimple , Ciklum is looking for DevOps QA Engineer to join Kyiv team on a full-time basis. CloudSimple is building next generation cloud infrastructure with a specific focus on enterprises..."
Data scientist,"80 000 грн
Киев","Набираем 3х Data Scientist в продуктовую IT компанию в Киеве на очень интересные проекты : Продукт : Morbax HR - AI Recruiting. Assessment. Development Что это : сервис поиска, подбора и оценки кандидатов..."
Senior Data Engineer for Ciklum CTO Office,"Киев
Профиль компании",Ciklum CTO Office is looking for a talented Senior Data Engineer in Kyiv or Lviv to join the big team. The team is working closely with R&D Department on innovative solutions for entire Ciklum and...
Middle Python developer,Киев,"DFM, a branch of an important Italian IT Group, according to its company's growth plan, is looking for Middle Python developer Basic Qualifications BS level technical degree or equivalent experience; Computer..."
Python developer (middle),Киев,EXIST.UA - самый большой в Украине интернет-магазин по продаже автозапчастей и автоуслуг приглашает в свою команду Python-программиста с опытом использования Django Требования: Более 2 лет опыта в разработке...
Regular JS/Python Engineer,Киев,"Project Description: Our new customer is a venture production studio building decentralized applications and various developer and end-user tools for blockchain ecosystems, primarily focused on Ethereum...."
Data Engineer - Technical Lead,Киев,"Project Description: Creating an ""Advanced Intelligence Engine"" that will be used for analyzing data in Data Lake to create insights (opportunities, leads, etc.) and transfer them to SFDC to be used by..."
Regular JS/Python Developer,Киев,"Project Description: Our new customer is a venture production studio building decentralized applications and various developer and end-user tools for blockchain ecosystems, primarily focused on Ethereum...."
Senior 3D plugin developer,Киев,"Project Description: Are you looking for the opportunity to make a direct impact on next generation products with an major industry player? Do you have experience leading the design, development and enhancement..."
Middle Kubernetes DevOps Engineer for Digital Consumer Engagement Infrastru...,Киев,Middle Kubernetes DevOps Engineer for Digital Consumer Engagement Infrastructure Проект: RRP Engagement Eсosystem Київ DevOps Intermediate Strong 10985 Платформа для залучення нових та підтримки існуючих...
DevOps Engineer,"Киев
Профиль компании","Ciklum is looking for DevOps Engineer to join our Business Process Automation Kyiv team on a full-time basis. It is a position for self-organized, assiduous and highly motivated talents who would like..."
JavaScript / Python Engineer,Киев,"Project Description: Our new customer is a venture production studio building decentralized applications and various developer and end-user tools for blockchain ecosystems, primarily focused on Ethereum...."
Junior Python developer,Киев,Deloitte is seeking a Junior Python developer to join the Consulting Department at the Kyiv office. Every story has a beginning. Deloitte is one of the leading international professional services firms...
System Admin/Developer for R&D Project (IRC61459),"Киев
Профиль компании",GlobalLogic Ukraine is inviting a System Admin/Developer for R&D Project to join its Kyiv office. The Team is recruiting for an Knowledge Developer Engineer to join our team. This person will work...
Generic Computer Vision Engineer,Киев,"Skelia invites Generic Computer Vision Engineers for long-term and full-time employment at its service center in Kyiv, Ukraine. This is a unique opportunity to become a part of the extension team of software..."
Middle DevOPS engineer,Киев,We are looking for an experienced DevOps Engineer to develop and maintain company's product infrastructure. This role intends to design and manage deployments of Platform-as-a-Service software in Cloud...
Trading Operations Analyst,Киев,"About Atto Trading Technologies, LLC is a dynamic, technology-driven firm supporting a quantitative trading operation across a wide range of financial markets. Founded in 2010, Atto is an emerging competitor..."
Experienced Administrator/DevOps Engineer,Киев,"We are looking for a new member of the Technology Operations Team Requirements, our DevOp has: Cloud-services: AWS, DigitalOcean,Google Cloud Strong wish to develop Kubernetes / Docker Swarm skills Strong..."
Quantitative Researcher,Киев,"Atto Trading Technologies has immediate openings for Quantitative Researcher . Quantitative Researchers at Atto Trading Technologies are responsible for building models, strategies for our automated trading..."
Chief Risk Officer,"80 000 грн
Киев","Иностранный финансовый холдинг для финансовой компании, работающей на рынке онлайн кредитования физических лиц в Украине, ищет CRO (Chief Risk Officer) Ключевые скиллы: · мониторинг и успешное построение..."
Администратор систем видеонаблюдения,"Киев
Профиль компании","Компания ""Новая Почта"" - лидер в сфере экспресс-доставок в Украине, в связи с расширение штата объявляет об открытии вакансии ""Администратор систем видеонаблюдения"" Требования: Однозначное и явно выраженное..."
DevOps Engineer,Киев,"Role: performing tasks for Company's Development team like an integration of company's products and third-party systems (CRM's, etc.), writing scripts in Python, running and configuring machine learning..."
DevOps Engineer,Киев,"Требования: Опыт работы с Continuous Integration/ Continuous Delivery на платформе Linux от 2-х лет, Jenkins/TeamCity от 2-х лет; Навыки администрирования Linux; Опыт написания скриптов на Bash/Python/Ruby;..."
DevOps Engineer,"Киев
Профиль компании","GlobalLogic Ukraine is inviting a DevOps Engineer to join its Kyiv office In the era of claudization, when attitude to personal information become sensitive more and more, new generation of communication..."
Senior CV/ML Engineer (IRC60780),"Киев
Профиль компании",GlobalLogic Ukraine is inviting a Senior CV/ML Engineer to join its Kyiv office GlobaLogic is looking for talented and passionate engineers who approach problem solving with a creative mind and a commitment...
Backend Developer,"Киев
Профиль компании","GlobalLogic Ukraine is inviting a Backend Developer to join its Kyiv office. Through technology and innovation, Project makes it possible for shoppers to quickly and easily find exactly what they want..."
DevOps Engineer,Киев,"Requirements: Experience working with tools designed to build, test and package software (a.k.a build automation software), like make, cmake, MSBuild, waf, gradle, etc. Experience with GitLab, Jenkins,..."
Middle Python developer (Relocate),Киев,"Стартап с надежными инвестициями приглашает Middle Python Developer с релокейтом в Европу. Наши ожидания от кандидата: отличное знание python, опыт работы с асинхронными фреймворками, опыт работы с noSQL..."
DevOps Engineer,Киев,"Company Description Playtech is the world's largest online gaming software supplier traded on the London Stock Exchange Main Market, offering cutting-edge, value-added solutions to the industry's leading..."
Разработчик Python/Django/Angular,Киев,"Требования: опыт разработки web приложений от 2 лет; знание Linux, Python3, Django, DjangoRestFramework и сопутствующих технологий (PostgreSQL, Celery, memcached); понимание принципов и основ работы Web..."
Lead Architect,Киев,"Program overview: In cooperation with the leading global provider of maps, traffic and places data enabling navigation, location-based services and mobile advertising around the world, Intellias is looking..."
Middle back end developer (Python),"Киев
Профиль компании","ЛИГА:ЗАКОН , украинская компания - ключевой игрок в разработке информационно-аналитических продуктов и сервисов, построенных на основе современных IT-технологий и обеспечивающих упрощение ведения бизнеса..."
Middle Data Scientist,Киев,"Генезис - это более 900 человек в 8 странах, которые создают продукты для 200 миллионов пользователей в месяц. Это компания полного цикла, где нет заказчиков, мы сами создаём все свои проекты от идеи и..."
Middle Python разработчик,Киев,Компания приглашает к сотрудничеству Middle Python разработчика в уютный Киевский офис для глобального проекта Требования: Опыт разработки на Python не менее 2-х лет; Опыт разработки серверного кода. Работа...
Data/BI Analyst,"Киев
Профиль компании","Мы украинская продуктовая IT-компания, которая разрабатывает платформу для автоматизации букмекерских процессов. Нам 4 года и нас уже 200+ профессионалов, которых объединяет амбициозность, жажда новых..."
Senior Python developer,Киев,"We are looking for a Python Web Developer responsible for managing the interchange of data between servers on different environments. Your primary focus will be the development of all server-side logic,..."
Senior Python Developer,Киев,"Наш проект входит в международный холдинг, который более 10 лет разрабатывает маркетинговый, игровой и финансовый софт. Офисы разработки находятся в Украине (Киев), Грузии, Казахстане, России. Компания..."
Cloud DevOps Engineer,"Киев
Профиль компании","GlobalLogic Ukraine is inviting a Cloud DevOps Engineer to join its Kyiv office Avid creates the technology that people use to make the most listened to, most watched and most loved media in the world...."
Linux Engineer,"Киев
Профиль компании","GlobalLogic Ukraine is inviting a Linux Engineer to join its Kyiv office. Development of state of the art applications, data integrations and server components for voice, video and screen recording, playback..."
Researcher for Autonomous Driving Project,"Киев
Профиль компании","GlobalLogic Ukraine is inviting a Researcher for Autonomous Driving Project to join its Kyiv office. The project uses a disruptive, never-been-seen-before, business model to produce world-leading competence..."
Senior DevOps Engineer (OL),Киев,"Project Overview: The product we create is the Platform providing the next generation of location services intelligence. Offering high-quality services such as map-data, traffic, geocoding and more as..."
Python/Django Developer,Киев,"We are looking for Python/Django Developer to take a position at our friendly professional team. Requirements: 2+ years experience with front-end development (JS, HTML5, Bootstrap, JQuery) 1+ years experience..."
DevOps / Python engineer,Киев,"Skills & Requirements 4+ years experience with Python Experience with Flask Experience with Ansible, Terraform Knowledge of Linux: generic commands and utilities, filesystem layout Practical experience..."
"Фахівець відділу комерційного планування (аналіз продажів, SPSS)","Киев
Профиль компании","Компанія «Нова Пошта» лідер в сфері експрес-доставки в Україні оголошує конкурс на вакантну посаду «Фахівець відділу комерційного планування (аналіз продажів, SPSS)» Вимоги: Досвід використання Python..."
Senior Python developer,Киев,"We are looking for full-stack software engineers with strong technical background and analytical thinking to participate in building tools and UI's for customer's healthcare system, which analyze and control..."
Full-stack Python Developer,"Киев
Профиль компании","We're looking for a passionate and experienced Full-stack developer, who is prepared to meet some new challenges. Our client is a genomics company with a focus on interpreting genetic diseases. Their product..."
Junior python developer,Киев,The new product from scratch in a B2B enterprise segment - resource management system. It would be a cloud based system for managing service requests. The product plans to offer to wide range of service...
Intermediate Python Software Engineer,"Киев
Профиль компании",About Сlient: Our Сlient is a New York career startup - a job marketplace for recent college graduates with a prominent mission of making it faster and easier for college students and recent graduates...
Junior Python Developer,Киев,"We are an international early-stage venture capital fund, focusing on SaaS, Marketplaces, and DeepTech startups in FinTech, Healthcare, Mobility, and other sectors. We have been supporting our portfolio..."
Senior Python Developer,Киев,MWDN company is looking for a self-motivated and goal oriented Python Developer who would like to be a part of a team working on brand new startup projects for foreign customers. Requirements: 3+ years...
PHP/Python Developer,Киев,"Компания Treeum ищет сильного PHP/PYTHON Developer , который поможет нам в создании новых продуктов и развитии функционала уже запущенных сервисов. Функциональные обязанности: разработка нового функционала..."
Senior Infrastructure Engineer (Relocation),Киев,Requirements: ? You have 5+ years of experience in operations and automation supporting large scale data center or cloud environments. ? Proficient in Linux system administration and operational needs...
Middle DevOps Engineer,Киев,B2B Soft is an innovative IT product company with its headquarter in New York and development center in Kiev. We focus on delivery of point-of-sale solutions for Wireless and Retail businesses. Large corporate...
Senior/Lead Data Science Engineer,Киев,"Zoral, a leading provider of research and development software, is hiring a strong Data Science Engineer in its development center in Kiev. Responsibilities: As a member of highly skilled Data Science..."
Python Developer,"80 000 грн
Киев",Robin8 the USA Blockchain company with head office in New York is seeking python developers who like to break things and stay on the front lines of emerging technology and disruptive innovation. If you...
Senior Data Scientist / Senior Machine Learning Engineer for Ciklum CTO,"Киев
Профиль компании",Ciklum CTO is looking for a talented Senior Data Scientist to join Kyiv team on a full-time basis. The team is working closely with R&D Department on innovative solutions for entire Ciklum and its...
Data Scientist,Киев,"Our team & you We are building team to develop Reusable Digital Use Cases which will be Intellectual Property for VEON and ported to all our OPCOs, monetizing our ever-growing Telco and Application..."
Middle/Senior Back-End developer,Киев,"Требования: Обязательно Middle или Senior. Обязательно знать один из языков (JAVA, Scala, Node.js, Haskell, Python, Clojure). Мы используем Clojure. Знание технологий из списка будет большим плюсом (Cassandra,..."
Machine Learning Engineer,Киев,"Trust Sourcing is looking for an Engineer with experience in Machine Learning to be part of our friendly team. Skills, Experience and Personality: 2+ years working in a commercial data science environment;..."
Big Data Engineer (Middle - Senior) for Ciklum New Client,"Киев
Профиль компании","On behalf of Ciklum New Client , we are looking for experienced Big Data Developer to join Kyiv team on full-time basis. Client details Our client is a Tel Aviv based mobile games startup with millions..."
Data Scientist,Киев,Pro Group Consult is one of the most dynamically developing companies in IT consulting in Europe with the head office in Spain. We have been working since 2013 and now our team includes more than 300 specialists...
Data Scientist (DMP Hub),Киев,"Learn below about your first 30, 60 and 90 days in your next role. Apply and join us now! Do you want to be part of a team that engages over 235 million customers across 12 rising markets? Do you want..."
Intermediate Python Software Engineer,"Киев
Профиль компании","About Customer Our customer is one of the biggest American based compliance companies that runs its services in more than 150 countries all over the globe in the fields of audit, taxes, financial advisory..."
Middle+/Senior Python Developer,"Киев
Профиль компании",Компания Evoplay открывает вакансию на должность Python Developer/Python-разработчика на высоконагруженный проект игровой тематики. Область ответственности: Проектирование и реализация высоконагруженных...
Junior Data analyst,"24 500 грн
Киев",Eveed is looking for a data analyst. As Junior Data analyst you will work closely with our media buying team to collect online marketing data and transform it into critical information and knowledge that...
Python Developer,Киев,Description of project: DevOps transformation of embedded systems development workflow - transition from solid image over-the-air upgrade to CI/CD way of updating using packages. Responsibilities: Develop...
Data analyst,Киев,"Avalon Fa Ltd является холдинг компанией, проекты которой направлены на: разработку программного обеспечения, бизнес анализ, финансовый анализ, аутсорс и аутстаф услуги. В данный момент мы ищем аналитика..."
Business Intelligence Specialist,Киев,"Мы, ИТ- компания, которая дает людям свободу перемещения, непрерывно улучшая сервис заказа автомобиля Uklon.ua. Наш сервис объединяет людей, которым необходимо куда-то ехать (riders) и людей, которые могут..."
Continuous Integration Engineer (DevOps),Киев,"Project Description: The project team is closely working with Digital Industrial company, operating in 160 countries and providing solutions in energy, healthcare and transportation. The team develops..."
Python Automation Engineer (WoWP),"Киев
Профиль компании","Persha Studia, украинский офис разработки компании Wargaming.net в г. Киеве, открывает вакансию на должность Python QA Automation Engineer , для работы над проектом World of Warplanes 2.0. (сейчас игра..."
Data scientist,"Киев
Профиль компании","Требования: Умение анализировать большие базы данных, структурировать данные, выделять полезную информацию, находить закономерности; Умение самостоятельно находить и добывать необходимые данные; Знание..."
Machine Learning developer/Data Scientist,Киев,"San Francisco based enterprise SaaS company, is looking for a full time Machine Learning Developer to join our growing team in Kiev office. Required skills: A degree in Computer Science or Mathematics,..."
Разработчик решений,Киев,"Мы небольшая команда, специалистов в сфере телекоммуникаций. Уже несколько лет занимаемся оптимизацией и автоматизацией систем коммуникации больших компаний. Сейчас, в команду разработчиков очень нужен..."
Web аналитик/Data Analyst,Киев,"Компания Treeum состоит из узнаваемых брендов в финансовой сфере: Finance.ua, Minfin.com.ua, Finline.ua, Bank-Online.com.ua. Мы активно развиваемся, запускаем новые финансовые продукты и постоянно расширяем..."
Backend PHP / Python Senior developer,"80 000 грн
Киев",Требуется PHP / Python разработчик Обязанности: Разработка и поддержка высоконагруженных проектов компании Написание аккуратного и эффективного по производительности кода Поддержка и рефакторинг работающих...
Python Django Software Engineer,"80 000 грн
Киев","Мы - продуктовая команда из Киева, которая разрабатывает свой продукт в сфере e-commerсe. Компания является единственным в Украине Facebook Marketing Partner. Нам нужен Middle/Senior Python Engineer, способный..."
Data scientist,"27 000 грн
Киев","Main requirements: Strong skills in exploratory data analysis Experience with SQL (PostgreSQL) Experience with Python (Pandas, Numpy, Scikit-learn, Scipy, etc) Experience with machine learning concepts:..."
Junior программист,Киев,"Киевская компания, разработчик интерактивных систем обучения и компьютерных симуляторов, ищет специалиста на позицию младший (junior) программист. Соискателю будет предложено небольшое тестовое задание...."
Computer Vision specialist (Junior or Middle),Киев,"Office location - Boryspilska metro station. What you need for this position: Bachelor / Master degree in Computer Science or related field (Information Systems, Mathematics, Physics, Software Engineering)..."
